Date,Close,High,Low,Open,Volume
2021-05-11T00:00:00.000,14850.75,14900,14771.40039,14789.7002,647400
2021-05-12T00:00:00.000,14696.5,14824.0498,14649.7002,14823.5498,643800
2021-05-14T00:00:00.000,14677.7998,14749.65039,14591.90039,14749.40039,620700
2021-05-17T00:00:00.000,14923.15039,14938,14725.34961,14756.25,546400
2021-05-18T00:00:00.000,15108.09961,15137.25,15043.7002,15067.2002,583900
2021-05-19T00:00:00.000,15030.15039,15133.40039,15008.84961,15058.59961,569100
2021-05-20T00:00:00.000,14906.0498,15069.7998,14884.90039,15042.59961,480300
2021-05-21T00:00:00.000,15175.2998,15190,14985.84961,14987.7998,572900
2021-05-24T00:00:00.000,15197.7002,15256.25,15145.4502,15211.34961,579800
2021-05-25T00:00:00.000,15208.4502,15293.84961,15163.40039,15291.75,441500
2021-05-26T00:00:00.000,15301.4502,15319.90039,15194.9502,15257.0498,384000
2021-05-27T00:00:00.000,15337.84961,15384.5498,15272.5,15323.9502,0
2021-05-28T00:00:00.000,15435.65039,15469.65039,15394.75,15421.2002,468100
2021-05-31T00:00:00.000,15582.7998,15606.34961,15374,15437.75,436000
2021-06-01T00:00:00.000,15574.84961,15660.75,15528.2998,15629.65039,409600
2021-06-02T00:00:00.000,15576.2002,15597.4502,15459.84961,15520.34961,428600
2021-06-03T00:00:00.000,15690.34961,15705.09961,15611,15655.5498,410200
2021-06-04T00:00:00.000,15670.25,15733.59961,15622.34961,15712.5,414200
2021-06-07T00:00:00.000,15751.65039,15773.4502,15678.09961,15725.09961,394000
2021-06-08T00:00:00.000,15740.09961,15778.7998,15680,15773.90039,378200
2021-06-09T00:00:00.000,15635.34961,15800.4502,15566.90039,15766.2998,457900
2021-06-10T00:00:00.000,15737.75,15751.25,15648.5,15692.09961,298300
2021-06-11T00:00:00.000,15799.34961,15835.5498,15749.7998,15796.4502,363000
2021-06-14T00:00:00.000,15811.84961,15823.0498,15606.5,15791.40039,392900
2021-06-15T00:00:00.000,15869.25,15901.59961,15842.40039,15866.9502,323300
2021-06-16T00:00:00.000,15767.5498,15880.84961,15742.59961,15847.5,340200
2021-06-17T00:00:00.000,15691.40039,15769.34961,15616.75,15648.2998,357600
2021-06-18T00:00:00.000,15683.34961,15761.5,15450.90039,15756.5,640800
2021-06-21T00:00:00.000,15746.5,15765.15039,15505.65039,15525.84961,351500
2021-06-22T00:00:00.000,15772.75,15895.75,15752.09961,15840.5,322200
2021-06-23T00:00:00.000,15686.9502,15862.9502,15673.9502,15862.7998,287500
2021-06-24T00:00:00.000,15790.4502,15821.40039,15702.7002,15737.2998,316700
2021-06-25T00:00:00.000,15860.34961,15870.7998,15772.2998,15839.34961,314600
2021-06-28T00:00:00.000,15814.7002,15915.65039,15792.15039,15915.34961,255100
2021-06-29T00:00:00.000,15748.4502,15835.90039,15724.0498,15807.5,360300
2021-06-30T00:00:00.000,15721.5,15839.09961,15708.75,15776.90039,262400
2021-07-01T00:00:00.000,15680,15755.5498,15667.0498,15755.0498,224900
2021-07-02T00:00:00.000,15722.2002,15738.34961,15635.9502,15705.84961,254800
2021-07-05T00:00:00.000,15834.34961,15845.9502,15762.0498,15793.40039,207000
2021-07-06T00:00:00.000,15818.25,15914.2002,15801,15813.75,391400
2021-07-07T00:00:00.000,15879.65039,15893.5498,15779.7002,15819.59961,329300
2021-07-08T00:00:00.000,15727.90039,15885.75,15682.90039,15855.40039,307900
2021-07-09T00:00:00.000,15689.7998,15730.84961,15632.75,15688.25,243200
2021-07-12T00:00:00.000,15692.59961,15789.2002,15644.75,15766.7998,216300
2021-07-13T00:00:00.000,15812.34961,15820.7998,15744.59961,15794,246700
2021-07-14T00:00:00.000,15853.9502,15877.34961,15764.2002,15808.7002,0
2021-07-15T00:00:00.000,15924.2002,15952.34961,15855,15872.15039,284900
2021-07-16T00:00:00.000,15923.40039,15962.25,15882.59961,15958.34961,276300
2021-07-19T00:00:00.000,15752.40039,15836.90039,15707.5,15754.5,242100
2021-07-20T00:00:00.000,15632.09961,15728.4502,15578.5498,15703.9502,274300
